year,state,month,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,popestimate2019
2019,Alabama,78,348147.0,6973.0,160667.0,120258.0,8515.0,7868,0.0,267.0,194.0,16.0,22809.0,13693.0,101.0,2.0,1.0,0.0,0.0,0.0,298.0,213.0,43.0,6.0,11.0,2.0,690084,4903185
2019,Alaska,78,2579.0,118.0,31943.0,31090.0,3784.0,2476,0.0,7.0,4.0,2.0,2188.0,1686.0,13.0,362.0,294.0,0.0,0.0,0.0,193.0,168.0,11.0,4.0,0.0,1.0,76923,731545
2019,Arizona,78,68547.0,6544.0,158864.0,89182.0,15720.0,10361,0.0,143.0,76.0,21.0,14863.0,6824.0,60.0,1199.0,130.0,13.0,0.0,0.0,209.0,112.0,35.0,4.0,4.0,1.0,372912,7278717
2019,Arkansas,78,35865.0,9224.0,68549.0,68773.0,4399.0,4947,161.0,154.0,157.0,3.0,13212.0,15575.0,43.0,0.0,0.0,0.0,0.0,0.0,102.0,151.0,19.0,1.0,9.0,0.0,221344,3017804
2019,California,78,431844.0,0.0,432239.0,299161.0,49517.0,0,17326.0,0.0,0.0,0.0,6165.0,4257.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240632,39512223
2019,Colorado,78,75319.0,0.0,210909.0,147663.0,18205.0,13330,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3421.0,663.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469535,5758736
2019,Connecticut,78,78974.0,5216.0,58808.0,22410.0,7516.0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172935,3565287
2019,Delaware,78,4501.0,0.0,20228.0,16949.0,1553.0,993,0.0,18.0,19.0,1.0,142.0,115.0,4.0,795.0,0.0,3.0,0.0,0.0,697.0,324.0,58.0,13.0,14.0,0.0,46427,973764
2019,District of Columbia,78,4376.0,0.0,1295.0,41.0,0.0,19,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5926,705749
2019,Florida,78,202456.0,0.0,608924.0,225560.0,46349.0,29538,19.0,472.0,221.0,6.0,48615.0,15133.0,110.0,10892.0,1224.0,157.0,0.0,0.0,2761.0,1521.0,465.0,588.0,524.0,4.0,1195539,21477737
